uf,municipality,ibge_code,year,arena_votes,mdb_votes,blank_votes,null_votes,total_votes,electorate,appointed_mayor
RO,Guajará-Mirim,1100106,1972,NA,NA,NA,NA,5320,NA,1
RO,Porto Velho,1100205,1972,NA,NA,NA,NA,15022,NA,1
AC,Brasiléia,1200104,1972,NA,NA,NA,NA,NA,2027,1
AC,Cruzeiro do Sul,1200203,1972,NA,NA,NA,NA,NA,6098,1
AC,Feijó,1200302,1972,NA,NA,NA,NA,NA,2480,1
AC,Rio Branco,1200401,1972,NA,NA,NA,NA,NA,21979,1
AC,Sena Madureira,1200500,1972,NA,NA,NA,NA,NA,1970,1
AC,Tarauacá,1200609,1972,NA,NA,NA,NA,NA,2732,1
AC,Xapuri,1200708,1972,NA,NA,NA,NA,NA,2280,1
AM,Anori,1300102,1972,1062,198,20,47,1327,2700,0
AM,Atalaia do Norte,1300201,1972,NA,NA,NA,NA,NA,220,1
AM,Autazes,1300300,1972,1295,681,100,107,2183,3726,0
AM,Barcelos,1300409,1972,NA,NA,NA,NA,NA,1372,1
AM,Barreirinha,1300508,1972,1748,0,67,64,1879,2610,0
AM,Benjamin Constant,1300607,1972,NA,NA,NA,NA,NA,1760,1
AM,Boca do Acre,1300706,1972,883,0,95,9,987,1667,0
AM,Borba,1300805,1972,1531,0,20,30,1581,2026,0
AM,Canutama,1300904,1972,726,0,7,5,738,936,0
AM,Carauari,1301001,1972,478,378,7,10,873,2200,0
AM,Careiro,1301100,1972,1477,2285,232,219,4213,9450,0
AM,Coari,1301209,1972,1746,2320,42,71,4179,6192,0
AM,Codajás,1301308,1972,927,966,0,50,1943,3293,0
AM,Eirunepé,1301407,1972,976,62,4,6,1048,1654,0
AM,Envira,1301506,1972,295,0,15,14,324,639,0
AM,Fonte Boa,1301605,1972,1095,1000,32,70,2197,6000,0
AM,Humaitá,1301704,1972,749,0,78,100,927,1667,0
AM,Ipixuna,1301803,1972,NA,NA,NA,NA,NA,872,1
AM,Itacoatiara,1301902,1972,3417,3353,219,109,7098,10239,0
AM,Itapiranga,1302009,1972,587,0,0,0,587,979,0
AM,Japurá,1302108,1972,NA,NA,NA,NA,NA,673,1
AM,Juruá,1302207,1972,189,0,10,0,199,400,0
AM,Jutaí,1302306,1972,146,0,7,3,156,2000,0
AM,Lábrea,1302405,1972,1854,0,22,50,1926,2843,0
AM,Manacapuru,1302504,1972,5175,0,100,95,5370,7999,0
AM,Manaus,1302603,1972,NA,NA,NA,NA,NA,119328,1
AM,Manicoré,1302702,1972,1088,0,619,161,1868,3800,0
AM,Maraã,1302801,1972,281,0,20,10,311,1034,0
AM,Maués,1302900,1972,2965,0,694,85,3744,6105,0
AM,Nhamundá,1303007,1972,429,420,35,28,912,1218,0
AM,Nova Olinda do Norte,1303106,1972,585,272,38,33,928,1576,0
AM,Airão,1303205,1972,313,0,37,0,350,1061,0
AM,Novo Aripuanã,1303304,1972,667,0,18,22,707,1070,0
AM,Parintins,1303403,1972,3576,3332,115,200,7223,9913,0
AM,Pauini,1303502,1972,300,0,30,42,372,740,0
AM,Santa Isabel do Rio Negro,1303601,1972,NA,NA,NA,NA,NA,540,1
AM,Santo Antônio do Içá,1303700,1972,NA,NA,NA,NA,NA,901,1
AM,São Gabriel da Cachoeira,1303809,1972,NA,NA,NA,NA,NA,1328,1
AM,São Paulo de Olivença,1303908,1972,NA,NA,NA,NA,NA,1665,1
AM,Silves,1304005,1972,438,0,70,86,594,856,0
AM,Tapauá,1304104,1972,303,0,53,2,358,606,0
AM,Tefé,1304203,1972,3125,0,28,75,3228,4972,0
AM,Urucará,1304302,1972,833,0,130,10,973,1597,0
AM,Urucurituba,1304401,1972,1040,0,205,0,1245,2306,0
RR,Boa Vista,1400100,1972,NA,NA,NA,NA,7715,NA,1
RR,Caracaraí,1400209,1972,NA,NA,NA,NA,268,NA,1
PA,Abaetetuba,1500107,1972,8395,834,226,244,9699,13820,0
PA,Acará,1500206,1972,2441,313,87,90,2931,4244,0
PA,Afuá,1500305,1972,1446,396,38,60,1940,3541,0
PA,Alenquer,1500404,1972,3250,4252,80,140,7722,12628,0
PA,Almeirim,1500503,1972,NA,NA,NA,NA,NA,1794,1
PA,Altamira,1500602,1972,NA,NA,NA,NA,NA,4483,1
PA,Anajás,1500701,1972,881,10,21,90,1002,2235,0
PA,Ananindeua,1500800,1972,3820,0,368,332,4520,5772,0
PA,Augusto Corrêa,1500909,1972,2982,0,25,35,3042,3848,0
PA,Alveiro,1501006,1972,468,584,13,34,1099,1480,0
PA,Bagre,1501105,1972,259,262,15,17,553,951,0
PA,Baião,1501204,1972,2253,0,23,32,2308,2779,0
PA,Barcarena,1501303,1972,2862,0,127,164,3153,5248,0
PA,Belém,1501402,1972,NA,NA,NA,NA,NA,262081,1
PA,Benevides,1501501,1972,2568,378,175,707,3828,4770,0
PA,Bonito,1501600,1972,453,734,33,20,1240,1803,0
PA,Bragança,1501709,1972,14455,0,416,380,15251,26379,0
PA,Breves,1501808,1972,2176,1015,199,102,3492,6626,0
PA,Bujaru,1501907,1972,1187,1019,42,76,2324,4414,0
PA,Cachoeira Arari,1502004,1972,3103,0,80,75,3258,4266,0
PA,Cametá,1502103,1972,4927,2767,259,473,8426,14590,0
PA,Capanema,1502202,1972,7504,0,159,155,7818,11963,0
PA,Capitão Poço,1502301,1972,3656,91,46,129,3922,4815,0
PA,Castanhal,1502400,1972,4316,5948,213,213,10690,12603,0
PA,Chaves,1502509,1972,967,1274,45,219,2505,4614,0
PA,Colares,1502608,1972,771,420,50,27,1268,1807,0
PA,Conceição do Araguaia,1502707,1972,2440,0,29,37,2506,3568,0
PA,Curralinho,1502806,1972,1347,0,187,20,1554,2508,0
PA,Curuçá,1502905,1972,7299,295,116,207,7917,10839,0
PA,Faro,1503002,1972,1306,0,15,19,1340,1607,0
PA,Gurupá,1503101,1972,2121,0,35,15,2171,3102,0
PA,Igarapé-Açu,1503200,1972,2194,1997,80,94,4365,6038,0
PA,Igarapé-Miri,1503309,1972,3769,1303,210,249,5531,7206,0
PA,Inhangapi,1503408,1972,794,521,41,51,1407,2046,0
PA,Irituia,1503507,1972,5180,1624,245,276,7325,9386,0
PA,Itaituba,1503606,1972,NA,NA,NA,NA,NA,1374,1
PA,Itupiranga,1503705,1972,785,0,14,24,823,1624,0
PA,Jacundá,1503804,1972,476,0,13,4,493,1100,0
PA,Juruti,1503903,1972,922,1763,37,54,2776,3527,0
PA,Limoeiro do Ajuru,1504000,1972,651,0,105,28,784,1203,0
PA,Magalhães Barata,1504109,1972,1268,250,11,32,1561,1845,0
PA,Marabá,1504208,1972,NA,NA,NA,NA,NA,8091,1
PA,Maracanã,1504307,1972,2930,2731,166,274,6101,8671,0
PA,Marapanim,1504406,1972,4359,267,70,200,4896,6234,0
PA,Melgaço,1504505,1972,684,0,13,16,713,964,0
PA,Mocajuba,1504604,1972,2374,0,15,40,2429,3813,0
